,file,text
289,FCAU0.wav,Iris thinks the zoo has eleven Spanish zebras
290,MRJM4.wav,Swing your arm as high as you can
291,MPAB0.wav,"Well, Junior, didn't he eat only one and Mr Henry didn't even do that well"
292,MKDR0.wav,No more startling contrast to a system of sullen satellites could be imagined
293,FLAS0.wav,The revised procedure was acclaimed as a long-overdue reform
294,FDHC0.wav,Those who are not purists use canned vegetables when making stew
295,MGRT0.wav,We saw eight tiny icicles below our roof
296,FISB0.wav,Steve wore a bright red cashmere sweater
297,FSXA0.wav,The clouds bulged downward and burst suddenly into a great black funnel
298,MNLS0.wav,Others invoked technology and common sense
299,MDLF0.wav,Did you buy any corduroy overalls
300,FTLH0.wav,"They also furnish proof that, in modern war, message sending must be monitored"
301,MDVC0.wav,It cost us a hundred thousand dollars and thirty days lost time to fix them
302,MNJM0.wav,Hiring the wife for one's company  may win her tax-aided retirement income
303,MJFC0.wav,Just drop notices in any suggestion box
304,MDSC0.wav,A huge power outage rarely occurs
305,MRJS0.wav,How will we work it out
306,FLNH0.wav,Dogs did something to one's ego
307,MJDH0.wav,Get a calico cat to keep
308,MESD0.wav,He will allow a rare lie
309,MCMJ0.wav,Steph could barely handle the psychological trauma
310,FMGD0.wav,"He admitted his behavior, and defended it"
311,FDRW0.wav,"He had left her inviolate, thinking familiarity would gentle her in time"
312,MRJR0.wav,"""Infectious hepatitis"", he shouted heartily"
313,MPAM1.wav,"If Carol comes tomorrow, have her arrange for a meeting at two"
314,MRJO0.wav,We of the liberal-led world got all set for peace and rehabilitation
315,FAKS0.wav,I'd rather not buy these shoes than be overcharged
316,MSJS1.wav,Aim to balance your employee benefit package
317,MWBT0.wav,Dogs did something to one's ego
318,MREB0.wav,She sounded as though they already existed
319,FELC0.wav,Scholastic aptitude is judged by standardized tests
320,FDAC1.wav,That stinging vapor was caused by chloride vaporization
321,MJSW0.wav,Have you got our keys handy
322,FJEM0.wav,Encourage them to exercise their benefits
323,MDAB0.wav,To his surprise his plan worked perfectly
324,MSTK0.wav,What it does: aids in preventing foamy bloat
325,MJTC0.wav,"To date, the one meat showing favorable results at sterilization doses is pork"
326,FMLD0.wav,"The saw is broken, so chop the wood instead"
327,FCMH1.wav,He ate four extra eggs for breakfast
328,MJLN0.wav,He wasn't likely to come down with hot chills and puzzling striped fever
329,MRES0.wav,The misquote was retracted with an apology
330,FJSJ0.wav,The new birth is immediate and instantaneous
331,MDAW1.wav,We've all been rich and spoiled long enough to hate the machine age
332,MSLB0.wav,Why accuse a shipmate of being behind this
333,MJTH0.wav,Do you know where might have gone
334,MAJC0.wav,"She looked crestfallen, as if he had somehow disappointed the whole human race"
335,MPAM0.wav,Her right hand aches whenever the barometric pressure changes
